6|97|-1,2|12:-5,-1,-5,-5,-2,-1,-4,-5,1,-3,0,-4/12:5,2,0,-3,-2,-5,3,1,-5,-1,-5,1/12:0,0,0,0,0,0,0,0,-3,-1,3,1/12:0,5,-5,-5,2,-3,0,2,4,2,-4,-1/12:0,0,-1,-3,1,3,0,0,0,0,0,0/12:1,5,2,4,0,-5,0,0,-2,3,4,2/12:-3,2,2,-3,0,-3,4,4,4,-3,5,4/12:-3,-2,2,3,2,2,1,3,3,0,5,-5/12:-2,-5,1,2,2,-3,5,2,-2,3,5,5|F:-1,2
4|91|1|8:-8589934591,8589934593,2,0,5,2,5,-1|F:1
2|7||4:2147483649,0,0,0/4:-3,-1,3,1/4:0,0,0,0/4:-3,-1,3,1|F:
9|7||18:2147483645,8589934593,5,-2147483648,-2,90,3,2147483648,6,-2147483648,5,8,-2147483646,2147483645,-2147483646,8589934592,5,-2147483647/18:97,1073741823,4294967294,-8589934592,4,-8589934592,-4,96,91,2,-5,2147483649,4,96,96,7,-2147483646,5/18:0,-5,98,-2147483646,98,-5,4,-8589934592,4294967294,92,-2147483648,2147483646,-2147483647,0,3,2147483649,-5,-4/18:-1,-8589934599,97,8589934592,1,98,6,4294967294,1099511627776,4294967294,1,4294967294,7,3,90,-8589934599,-8589934592,97/18:91,2147483648,1099511627776,-5,-5,-2147483648,2147483645,6,4294967294,7,2,4,2147483648,2147483649,-2147483647,7,96,4/18:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|F:
2|91||4:-5,0,0,0/4:0,0,0,-3/4:0,0,4,0|F:1
2|91|1|4:-5,0,0,0/4:0,0,0,-3/4:0,0,4,0/4:1,0,0,0|F:1
8|7||16:0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0/16:0,5,0,0,0,0,0,0,-8589934592,8589934592,0,0,0,0,0,0/16:4,0,0,3,0,0,5,-8589934599,0,-4,0,0,0,0,-1099511627777,0/16:0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0/16:0,0,0,2,0,0,0,0,0,0,8589934592,-2,0,-8589934592,0,0/16:5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0/16:0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0/16:0,0,-1099511627777,0,0,0,0,0,0,0,-3,0,0,0,0,0/16:0,-1,0,0,2,0,0,0,0,0,0,0,0,3,0,0/16:1,0,0,0,-1,0,-5,0,-1,-3,0,3,5,0,0,3/16:0,0,-2,-1,2,1,0,0,0,0,0,0,0,0,0,0/16:-5,0,0,0,5,1,0,0,0,0,-1099511627777,0,0,0,0,-1099511627777/16:-5,0,0,0,-3,0,0,0,-1,0,0,0,0,-4,0,0/16:0,0,0,0,-1,-3,0,0,0,0,0,0,1,3,0,0/16:0,0,0,0,0,5,0,0,0,0,0,-3,-1099511627777,4,3,0/16:0,-2,0,0,5,0,0,0,0,0,5,-1099511627777,0,-8589934599,0,0/16:4,0,0,3,0,-8589934591,0,0,0,0,0,0,0,0,0,0|T:0,1,2,3,4,5,6,7
4|97|0,1,2,3||T:0,1,2,3
8|97|0,2,3,6|16:0,-5,0,8589934589,1099511627776,1,2147483649,8,6,2,0,2147483649,2147483648,-1099511627777,2147483647,0/16:-3,-1,0,0,3,1,0,0,0,0,0,0,0,0,0,0/16:0,0,4294967294,3,1099511627776,0,-2147483648,8589934592,-2147483647,0,0,5,0,91,0,0/16:92,98,0,0,-1099511627777,-2147483646,-5,0,0,0,8,-5,90,2147483645,0,96/16:2147483648,4294967295,1,4,0,0,0,-2147483646,0,0,0,1073741823,8589934593,0,0,0|F:0,2,3,6
7|1000000007|0,2,5|14:-2,-1,-3,4,4,2,1,5,-5,3,5,-5,-1,-3/14:5,-4,3,-5,-2,5,-4,4,-3,-2,1,3,2,5/14:-4,5,1,2,1,0,-1,4,-2,-1,-5,-5,2,-5/14:-5,0,0,-4,1,-2,5,0,1,-3,-5,0,1,3/14:-2,-4,-1,-5,-5,0,2,-3,0,-4,-2,0,-5,1/14:2,-3,-2,-4,3,1,2,3,4,-2,3,4,3,0/14:0,0,-1,0,0,0,1,0,0,0,0,0,0,0/14:0,0,0,0,0,0,0,0,0,0,0,0,0,0/14:5,-2,3,1,-3,-5,5,-3,-1,-2,2,3,3,4|T:0,1,2,3,4,5,6
6|2147483647||12:0,0,0,0,0,0,0,0,0,0,0,0/12:-5,2,5,1,1099511627776,3,1099511627776,1099511627776,2,-2,1099511627776,1/12:3,-8589934599,-8589934592,-3,1,-3,3,-8589934599,1099511627776,4,-2,-3/12:-5,-8589934591,3,-8589934591,1,4,4,-8589934592,5,-1099511627777,-1,-5/12:5,5,1099511627776,-8589934591,1099511627776,-5,8589934592,-1,8589934593,4,0,-5/12:0,0,0,0,0,0,0,0,0,0,0,0/12:8589934593,0,8589934593,-5,-1,5,0,8589934593,4,8589934593,-8589934591,4/12:-8589934599,-8589934591,-4,-8589934599,1099511627776,-1,8589934589,-4,-5,1099511627776,0,8589934593/12:-8589934599,8589934593,8589934592,-3,-1099511627777,-5,5,-5,1,-3,-8589934599,-8589934592/12:1,3,0,0,0,0,0,0,0,0,-1,-3|F:
6|2147483647||12:0,0,0,0,0,0,0,0,0,0,0,0/12:-5,2,5,1,1099511627776,3,1099511627776,1099511627776,2,-2,1099511627776,1/12:3,-8589934599,-8589934592,-3,1,-3,3,-8589934599,1099511627776,4,-2,-3/12:-5,-8589934591,3,-8589934591,1,4,4,-8589934592,5,-1099511627777,-1,-5/12:5,5,1099511627776,-8589934591,1099511627776,-5,8589934592,-1,8589934593,4,0,-5/12:0,0,0,0,0,0,0,0,0,0,0,0/12:8589934593,0,8589934593,-5,-1,5,0,8589934593,4,8589934593,-8589934591,4/12:-8589934599,-8589934591,-4,-8589934599,1099511627776,-1,8589934589,-4,-5,1099511627776,0,8589934593/12:-8589934599,8589934593,8589934592,-3,-1099511627777,-5,5,-5,1,-3,-8589934599,-8589934592/12:1,3,0,0,0,0,0,0,0,0,-1,-3/12:0,0,0,0,0,0,0,0,1,2,0,0|F:
1|2147483647|0,0|2:0,2147483649/2:-4,0|T:0
9|2147483647|5,12|18:0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|F:5,12
10|91||20:0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0|F:
6|97||12:0,0,-8589934592,-1,0,-1099511627777,0,0,1099511627776,8589934593,-8589934592,0/12:0,0,0,0,1,-2,0,0,-1,2,0,0/12:0,0,1,3,0,8589934592,-8589934599,-1,8589934592,-2,0,0/12:0,0,3,0,0,0,0,8589934593,0,-2,5,-1|F:
6|97||12:0,0,-8589934592,-1,0,-1099511627777,0,0,1099511627776,8589934593,-8589934592,0/12:0,0,0,0,1,-2,0,0,-1,2,0,0/12:0,0,1,3,0,8589934592,-8589934599,-1,8589934592,-2,0,0/12:0,0,3,0,0,0,0,8589934593,0,-2,5,-1/12:1,1,0,0,0,0,0,0,0,0,0,0|F:
11|1000000007|10|22:97,0,0,0,0,3,0,1073741823,0,2,2147483649,0,0,0,0,-5,0,0,0,0,0,0/22:0,0,0,0,92,0,0,0,0,8,92,-2147483646,0,-2147483647,0,0,0,0,0,0,0,0/22:0,0,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2/22:98,0,0,-2147483648,6,2,0,0,2,0,4,-2147483648,0,4294967294,0,2147483648,98,4,0,0,0,0/22:98,0,0,0,0,0,-4,0,6,8,0,-4,0,0,0,0,0,-3,0,0,3,-2147483648/22:0,2147483649,0,0,0,0,0,0,0,0,0,2147483648,0,2147483645,-3,8,8,2,92,0,0,0/22:97,0,0,0,0,0,0,0,0,2147483645,0,-4,4294967294,0,0,5,0,0,0,0,2147483647,0/22:2147483645,0,0,0,0,0,2147483647,0,0,0,-2147483648,0,0,0,0,0,0,0,1,0,0,0/22:0,96,0,0,-5,0,1,0,90,0,0,0,0,0,0,0,-2147483647,0,0,91,0,0/22:1,2,0,0,0,0,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0/22:0,-3,3,97,0,90,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0/22:91,7,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,2147483645,98,-2,0,0,0,2147483646/22:0,4294967295,0,0,2147483646,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,4,0,0/22:8,0,-2,0,0,0,0,-4,0,0,6,0,0,2,0,0,2147483648,0,0,0,0,91/22:0,0,0,0,0,0,0,90,0,1,3,-2147483648,7,91,2147483645,-2147483648,0,0,0,2147483649,0,0/22:0,0,0,0,0,0,97,0,0,2,0,0,0,0,0,3,4294967294,0,0,0,0,0/22:8,0,0,-5,0,0,2147483645,0,0,0,0,0,-2,0,1,0,0,0,0,0,0,0/22:0,0,98,7,-2147483648,2147483646,0,2147483649,0,0,0,0,0,0,0,0,98,0,0,0,0,0/22:0,0,2147483649,0,0,0,98,0,0,0,0,0,2147483649,0,0,0,-2147483648,0,0,0,0,92/22:2147483646,0,90,0,90,3,0,96,0,0,0,0,-3,98,0,0,0,0,2147483648,0,0,0/22:1,3,0,0,0,0,0,0,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0/22:0,-2147483647,0,0,4294967295,0,0,4,0,0,0,1,2147483648,0,0,0,0,0,-3,0,0,0/22:2,0,0,3,0,98,0,0,0,0,2,0,0,4294967294,0,0,1,0,0,2147483645,0,0/22:0,0,0,0,0,0,0,0,4294967295,0,0,-2147483646,0,0,0,0,0,0,0,0,-2147483647,0|T:0,1,2,3,4,5,6,7,8,9,10
2|91||4:2,1,-2,-1/4:-2147483648,0,92,0/4:0,0,97,8589934593/4:0,-8589934591,0,0/4:2147483646,0,2147483649,0|F:
2|91||4:2,1,-2,-1/4:-2147483648,0,92,0/4:0,0,97,8589934593/4:0,-8589934591,0,0/4:2147483646,0,2147483649,0/4:1,1,0,0|F:
1|7||2:-4,-3|T:0
11|2147483647||22:-1,-3,3,1,3,-8589934599,-3,5,5,0,2,8589934593,8589934593,8589934593,-5,3,8589934593,-8589934599,0,-5,8589934592,-5/22:2,-5,0,8589934593,8589934593,-1,5,5,2,-3,-1099511627777,-3,-2,-5,8589934593,-8589934592,-8589934599,-3,-5,-1,-1099511627777,0/22:8589934592,4,-2,-1,8589934589,-8589934591,-5,-8589934592,-3,8589934593,8589934592,0,1,8589934592,-2,8589934589,4,-8589934591,-4,-5,-8589934599,-3/22:0,4,-8589934592,2,-8589934599,-3,3,-8589934592,-1099511627777,-1099511627777,1,-1099511627777,2,-8589934599,8589934589,-2,-8589934599,-5,-5,8589934592,1099511627776,0/22:8589934592,8589934589,-3,-5,-2,8589934592,-8589934599,-8589934599,8589934593,0,8589934589,-4,-8589934592,8589934593,5,-8589934592,1099511627776,-3,4,-5,0,1099511627776/22:1,-1099511627777,-8589934592,8589934592,8589934592,8589934593,1,-3,-3,-2,-3,-1099511627777,5,-5,1099511627776,-1099511627777,-4,-4,-5,-8589934592,2,-4/22:5,-2,5,-3,-4,-1099511627777,-4,-8589934592,-1,8589934593,8589934589,2,-5,0,-3,-8589934599,1099511627776,-8589934592,5,8589934593,8589934593,-8589934599/22:0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0/22:3,-8589934599,-3,-8589934592,-1099511627777,3,4,4,8589934593,0,-4,-8589934599,-4,1,1099511627776,-4,-2,-8589934592,5,4,8589934589,-8589934591/22:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-1,0,0,3,1/22:-1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,0,0,0,0,0/22:0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0/22:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|F:
9|1000000007|3,5|18:98,2,6,3,92,2147483645,5,96,-5,-2,4,0,4294967295,2147483645,2,2147483646,-2,2147483649/18:4,2147483647,2147483645,98,1073741823,7,-2147483648,-2147483647,4294967294,2147483647,97,4294967294,3,2147483648,-2,2147483646,4294967294,-4/18:2147483648,98,3,2147483645,4294967294,96,2147483645,2147483645,91,98,2147483647,-1,5,4,2147483648,4294967295,-4,-2147483648/18:8,-4,3,2147483646,-5,8,6,91,96,-2147483647,91,6,4294967295,96,-5,6,2147483649,5/18:-2147483647,96,8,8,2147483645,2147483649,4294967294,-1,-5,6,-1,2,-5,2147483645,-2147483647,-2147483647,-5,4294967294/18:2147483648,4294967294,1073741823,-1,96,4294967295,2147483645,7,-3,98,2147483645,90,1073741823,91,92,98,-1,98/18:8,90,2147483647,-4,-4,91,1073741823,2,1073741823,0,6,-1,3,-2,97,4294967294,8,92/18:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|F:3,5
